year_of_birth,gender,level_of_education,mailing_address
1972,f,m,Хмельницький
1988,f,m,Львів
1991,f,m,Київ
1965,f,m,"м.Ірпінь, Київська обл."
1988,f,m,с-ще Градизьк
None,f,,Kyiv
1993,f,b,Суми
1992,m,m,Жидачів
1980,m,m,Харків
1984,f,m,Киев
1996,m,a,Біла Церква
1982,m,m,Днiпропетровськ
1989,f,m,Суми
1975,f,m,м. Київ
1972,f,m,Kyiv
None,f,m,Kyiv
1984,f,m,Київ 
1974,f,m,Київ
1992,f,jhs,Київ
1974,m,m,Київ
1990,m,m,Київ
1988,m,m,Львів
1979,f,m,Київ
1985,f,m,Rivne
1992,f,b,
1993,f,b,Київ
1976,f,m,Київ
1988,f,m,
1991,f,m,Київ
1990,f,m,
None,,m,
1979,m,b,Київ
None,m,m,Київ
1978,m,m,Одесса
1984,f,m,Херсон
1991,f,m,Opole
1989,m,b,Дніпродзержинськ
1968,f,m,Градизьк
1988,f,m,м. Київ
1983,m,m,Херсонська обл. м. Скадовськ
1954,m,m,м. Херсон
1988,f,m,Dnipropetrovsk 
1992,f,b,Київ
1978,f,m,Київ
1988,m,hs,Київ
1977,f,m,Kyiv
1988,f,m,Дніпропетровськ
1980,m,m,Київ
1969,f,m,Київ
None,f,m,
1982,f,m,Киев 
1993,f,b,
1980,f,b,Дніпропетровськ
1991,f,m,
1996,f,a,Харків
1974,f,m,Київ
1994,m,a,Kiev
1979,f,a,Ірпінь
1968,f,m,Київ
1992,m,m,Рівне
1983,m,m,Харків
1985,m,m,Київ
1985,f,m,
1991,f,m,Kiev
1993,f,b,
1985,f,m,Киев
1990,f,m,Київ
1987,f,m,Київ
1995,f,a,Київ
1984,f,m,"Бровари, Киъвська обл."
1984,f,m,Lutsk
None,f,m,Кривий Ріг
1972,f,m,місто  Дніпродзержинськ
1974,f,m,Lviv
1988,f,m,Київ
1994,f,b,Vinnytsia
1986,f,m,Кременчук
1991,f,m,"Чернігів, Київ"
None,,m,Київ
1990,f,m,Київ
1975,f,m,м.Київ
1997,f,hs,"Львів
"
1997,m,hs,
1987,m,jhs,Кременчук
1989,m,m,Київ
None,f,m,
1988,f,a,Кіровоград
1963,f,m,Харків
1976,f,hs,Киев
1988,f,m,Київ
1992,f,m,с. Нові Петрівці
1988,f,m,Київ
1993,f,b,м. Київ
1989,f,m,Великий Любінь
1988,f,m,Львів
1990,f,m,Бровари
1985,f,m,Kyiv
1965,o,m,"Fröndenberg, Germany"
1965,f,m,м. Єнакієве
1989,f,m,Рівне
1987,f,m,Львів
None,f,m,Київ
None,f,m,
1985,f,m,Полтава
1978,f,m,Київ
1989,m,m,Ужгород
1987,f,m,Makiivka
1980,m,a,Львів
1983,m,m,Київ
1973,m,m,
1986,f,m,Київ
1991,f,m,Запоріжжя
1994,f,a,м. Запоріжжя
None,,,
1980,f,m,Київ
1982,m,b,
1994,m,a,Київ
1978,f,m,м. Львів
1988,m,b,Львів
1995,f,a,Київ
1983,f,m,
1975,f,m,Кривий Ріг
1965,f,m,м.Антрацит Луганської обл
1991,f,m,м. Киев
1987,f,m,Київ
1993,f,a,Київ
1997,f,hs,Кременчук
1988,f,m,Ильичевск
1957,f,a,Kiyv
1975,f,p,Odessa
1988,m,m,Київ
1979,m,m,Дніпропетровськ
1963,m,m,Київ
1996,m,a,"Київ, Львів"
1987,f,m,Донецк
1974,m,m,Краматорськ
1986,m,m,Київ
1983,f,m,Київ
1996,m,other,Ужгород
1987,f,m,Дніпропетровськ
None,f,a,Київ
1975,f,hs,Kolomyya
None,f,b,
1997,m,hs,м.Вінниця
1982,m,m,Київ
1983,m,m,м.Вишгород
1990,f,m,Київ
1984,m,p,м.Суми
1976,m,m,Wrocław
1991,f,a,Рівне
1992,f,b,
1982,f,m,Київ
1986,f,m,Донецьк
1991,m,m,Суми
1980,f,m,Kyiv
1999,m,hs,
1978,f,m,м.Київ
1977,f,m,Львів
1958,f,m,Дніпропетровськ
1963,f,m,Київ
1991,f,m,Київ
1994,f,a,М. Тернопіль
1986,f,m,Кіровоград
None,,m,
1983,f,m,Uman
1981,f,m,Луцьк
1996,f,hs,Київ
1979,f,m,Запоріжжя
1986,m,m,Dniepropetrovsk
1948,f,m,Київ
1991,m,b,Львов
1986,f,m,Київ
1981,f,m,"м. Боярка, Києво-Святошинський район"
1986,m,m,Київ
1989,m,m,
1981,f,m,Київ
1974,f,m,Київ
1985,m,m,Київ
1984,f,m,Київ
1991,f,m,Київ
1987,f,b,melitopol
1977,f,m,Нововолинськ
1992,f,m,м. Хмельницький
1988,f,m,Львів
1982,f,m,
1966,f,m,Киев
None,f,jhs,Чернигов
1975,f,m,м. Кривий Ріг
1980,f,m,Kyiv
1979,f,m,Киев
1999,f,hs,m.Volnovaha
1994,f,a,м.Жашків
1996,m,hs,Харків.
1973,f,b,Київ
1983,m,m,Житомир
None,f,m,
1976,f,m,м.Чернівці
1984,f,m,м.Київ
1985,m,m,
1965,f,m,місто Одеса
1995,f,hs,Луцьк
1989,f,m,Київ
1989,f,m,
1983,f,m,м. Харків
1972,f,m,Киев
1967,f,m,Вінниця
1966,f,m,Дніпропетровськ
1987,f,m,Київ
1994,f,a,Дніпропетровськ
1988,f,m,м. Київ
1986,f,p,Київ
None,f,m,
1985,m,m,
1994,m,a,Київ
1968,f,m,Херсон
1992,f,m,Тернопіль
1992,f,m,
1993,m,b,Київ
1955,f,m,Киїїв
1984,m,b,Бердянск 
None,f,b,
1982,f,m,Львів
1992,f,m,
1986,f,m,Івано-Франківськ
1986,m,b,
None,f,m,
1988,m,b,Київ
1997,m,,
1979,f,m,Lviv
1996,m,hs,Київ
1965,f,m,Київ
None,,m,
1987,f,m,Суми
1993,m,m,м. Чернівці
1987,f,m,Київ
1991,f,m,Донецк
1995,m,a,м.Одеса
1994,m,a,Київ
1973,f,m,Київ
1984,f,m,
1980,m,m,Львів
1982,f,m,Львів
1993,m,b,Харків
1988,f,m,Київ
1995,f,hs,"м. Бровари, Київська обл."
1988,f,hs,Винница
1997,f,hs,"Стрий, Львівська область"
1993,f,a,м. Київ
1987,f,m,Київ
1988,m,m,
1989,f,m,Івано-Франківськ
None,f,m,Kyiv
1995,f,a,T. Skole
1978,f,m,Київ
1981,f,m,Дніпропетроськ
1976,f,m,"Миколаївська область, м. Новий Буг"
1989,f,m,"Місто Кременчук, Полтаської області."
1994,f,a,смт. Літин Вінницької області
1982,f,m,м. Київ
1982,f,m,Kyiv
1978,f,m,КиІв
1985,f,m,Київ
None,m,m,
1989,m,m,"м. Буча, Київська обл."
1993,f,b,
1979,f,m,Київ
1993,f,b,"м. Амвроіївка, Донецька обл."
1990,f,m,Київ
1993,f,b,Київ
1991,f,m,Київ
1984,m,m,Kyiv
1980,m,m,Кременчук
1994,m,hs,м. Житомир
1985,f,m,Харьков
1990,f,m,Львів
1985,m,m,
1991,o,m,Kharkiv
1991,m,m,Kyiv
1991,m,m,Kyiv
1968,m,hs,Сміла
1985,f,a,м.Запоріжжя
None,m,a,Львів
1981,m,m,Київ
None,,,
1989,f,m,Київ
1995,f,a,м. Київ
1982,m,m,Київ
1988,m,m,Київ
1996,m,hs,Львів
1979,m,a,Гостомель
1993,m,a,Київ
None,f,m,
1996,m,a,Львів
1982,m,m,Київ
1976,m,m,Київ
1984,m,m,Lviv
1990,m,m,Nikopol
1990,m,m,Odessa
1991,m,m,Lviv
1980,f,m,"Миколаїв, Миколаївська область, Україна"
1984,f,m,Київ
1992,f,b,Київ
1994,f,a,Київ
1980,f,m,Київ
1984,f,p,Київ
1995,f,a,Київ
1990,m,m,Львів
1989,f,m,Енергодар
1993,f,b,Київ
1979,m,m,Львів
1981,m,m,Киев
1991,m,m,
1995,m,a,Донецк 
1989,m,m,Lviv
1988,m,m,Kyiv
1978,m,m,
1994,m,hs,місто Київ
1997,m,hs,м. Луцьк Волинської області
1981,f,,Київ
1989,m,m,Кременчук
1989,f,m,Киев
1981,m,jhs,Полонне
1975,m,m,Прилуки
1994,m,a,Sumy
1996,m,a,Київ
1996,m,a,Київ
1994,m,jhs,Кривий Ріг
1985,m,b,Kiev
1996,m,hs,Київ
1989,m,m,Київ
1987,m,m,Білогородка
1994,m,b,Харків
1989,m,m,Кременчук
1994,m,a,Киев
1986,m,m,Київ
2014,m,m,Донецьк
1985,m,m,Київ
1980,m,m,Киев
1980,m,b,Краматорськ
1990,m,m,Київ
1980,m,hs,г. Одесса
1992,m,b,Ярмолинці
1985,m,m,Киев
1982,m,b,Харків
1987,m,m,Київ
1992,f,b,Львів
1987,f,b,Миколаїв
1996,m,a,Тернопіль
1995,f,a,Київ
1975,f,m,Київ
1991,f,m,Київ
1993,f,a,Київ
1983,f,m,Київ
1975,f,m,м. Івано-Франківськ
1975,m,m,Буча
1994,m,a,Харьков
1993,f,b,
1984,m,m,Київ
1992,m,m,Kovel'
1982,m,m,Львів
1981,f,m,Львів
1987,f,m,
1989,f,m,Київ
1990,f,m,Тернопіль
1989,f,m,Львів
None,f,,
1980,f,m,Тернопіль
1983,f,m,місто Буча
None,f,m,Київ
1996,m,hs,"хмельницька обл., м. Кам'янець - Подільський."
None,,a,
1992,m,a,Київ
1986,f,m,Київ
1991,m,jhs,Обухів
1991,m,a,Lleida
1980,m,m,Харків 
1975,m,m,Рівне
1985,f,m,Київ
1993,f,b,м. Київ
None,m,,
1994,m,a,Київ
1981,m,m,Вінниця
None,f,m,Київ
1963,f,m,Odessa
1985,m,m,"м. Новий Розділ, Львівська обл."
1981,f,m,Київ
1990,m,m,Київ
1970,m,m,Львів
1975,f,m,"с. Остриця,  Герцаївський р-н, Чернівецька обл."
1994,m,jhs,м.Малин
1983,f,m,Дніпропетровськ
1989,f,m,Кам'янець-Подільський
1994,m,a,Львів
1986,f,m,
1993,f,a,Місто Київ
1994,f,a,м.Краматорськ
1992,f,b,
1993,f,a,Запоріжжя
1985,f,m,Київ
1992,f,b,Київ
1984,f,m,м. Львів
1990,m,m,г. Днепропетровск
1984,m,m,Київ
1978,f,m,Київ
1990,f,m,м. Суми
1978,f,p,Odessa
1992,f,m,Kyiv
1993,f,b,Київ
1981,f,m,
None,f,m,
1984,f,a,
1994,f,a,Одесса
1993,f,b,Київ
1992,f,jhs,Ivano-Frankivsk
1998,f,hs,"місто Вознесенськ
Миколаївська область"
1990,f,m,Київ
1989,f,m,м.Київ
1997,f,a,Одеса
1990,f,m,м. Луцьк
1979,f,a,Київ
1987,f,m,Львів
1997,f,hs,
1988,f,m,Київ
1992,f,b,Крим
1988,f,m,Київ
1995,f,a,
1995,f,a,м.Київ - м.Березне Рівненської області
1992,f,b,Kyiv
1990,f,m,Львів
1995,f,a,"Київ
"
1987,f,m,Kiev
1978,f,m,Київ
1984,f,m,Стрий
1993,f,b,Запорожье
1996,f,a,Кіровоград
1977,f,m,Київ
1993,f,m,Одеса
1998,m,hs,Львів
1991,f,m,Львів
1992,f,m,Львів
1988,f,m,Львів
1995,f,a,Київ
1983,f,m,Київ
1995,f,a,м. Київ
2014,m,m,Львів
1995,f,a,Київ
None,m,m,
1990,m,m,Львів
1989,f,b,Kharkiv/Poltava
1979,f,p,Ірпінь
1976,f,m,MUKACHEVO
1989,f,b,Ternopil
1993,f,b,Uzhgorod
1985,f,m,Kiev
1993,f,b,Ужгород
1994,f,a,м. Тернопіль
1989,f,m,Львів
1991,f,m,
1989,f,b,Kiev
None,f,b,Київ
1998,f,,
1985,f,m,Kyiv
1992,f,m,Ужгород
1990,f,m,Львів
1978,f,m,Kyiv 
1987,f,m,Київ
1997,f,a,Вінниця
1986,f,m,Дніпропетровськ 
1993,f,b,Киев
1989,f,m,Київ
None,,,
1997,f,a,Одеса
1982,f,m,Винница
1986,f,m,Тернопіль
1994,f,a,Тернопіль
1981,f,m,Львів
1986,f,m,Kyiv
1987,f,m,Lviv
1997,f,hs,Київ
None,f,a,Київ
1995,f,a,
1992,f,a,Дніпропетровськ
1976,f,m,Київ
1978,f,p,Суми
1991,f,m,м. Харків
1991,f,m,Свалява
1993,f,a,м. Острог
1995,f,a,"Kyiv, Ukraine / London, ON, Canada"
1991,f,m,Львів
1979,f,m,Київ
1996,f,hs,м.Львів
1991,f,m,Brovary
1993,f,b,Київ
1991,f,m,Milicz 
1993,f,a,Київ
1987,f,m,Копенгаген
1991,f,m,Київ
1988,f,a,Київ
1991,f,m,Київ
1987,f,m,odessa
1983,m,m,Київ
1983,f,m,Київ
1986,f,m,Київ
1986,f,b,Київ
1983,f,p,м. Київ
1991,f,b,м. Київ
1998,f,hs,Харків 
1990,f,a,Г. Полтава
1980,f,m,Киев
None,f,m,
1987,f,m,
1976,f,m,місто Миколаїв
1996,f,b,
None,f,m,Київ
1984,f,m,Харків
1988,f,m,Kiev
1981,f,m,Вінниця
1993,f,a,Киев
1978,f,m,
1983,f,m,Киев
1994,f,b,м. Кривий Ріг
1969,f,m,Киев
1964,f,hs,Херсон
1992,f,b,Київ
1991,f,m,м. Київ
1992,f,m,Житомир
1993,f,b,м. Київ
1978,f,m,
1983,f,m,Київ
1977,f,m,"м.Горлівка, Донецька область"
1991,f,a,місто Рівне
1995,f,a,Kiev
None,f,m,
1983,f,m,м.Київ
1963,f,m,Київ
1989,f,hs,Кировоград
1987,f,m,Кривий Ріг
1990,f,b,Київ
1991,f,m,Київ
1987,f,m,Харків
1986,f,m,м. Київ
1983,f,m,Київ
1990,f,m,Київ
1985,f,m,Одеса
1995,f,a,м.Київ
1988,m,m,Київ
1993,f,a,Kiev
1991,f,m,Київ
1989,f,m,Kyiv 
1992,f,b,"Shanghai, China"
1995,f,a,Хмельницький
1986,f,m,Черкаси
1981,f,m,Київ
1986,f,m,м. Київ
1973,f,m,Джанкой
1973,f,m,
1991,f,m,м.Київ
1988,f,m,м.Київ
None,f,a,
1994,f,a,Кривий Ріг
1986,f,m,Львів
1986,f,m,Київ
None,f,,
1981,m,m,Kyiv
1987,f,m,Київ
1983,f,m,Львів
1988,f,m,Хмельницький
1994,f,a,Київ
1990,f,m,Львів
1995,f,a,м.Київ
1986,f,m,Вишгород
1995,f,m,м. Луцьк
1987,f,m,м. Київ
1985,f,m,Дніпропетровськ
1984,f,m,Львів
1993,f,a,Львів
1994,f,a,м. Київ
1976,f,m,"м.Надвірна,Івано-Франківська обл."
1987,f,m,"Кам""янка-Бузька"
1991,f,m,Lviv
1991,f,m,Львів
1988,f,m,"c. Оброшино, Львівська обл., Пустомитівський р-н"
1989,f,m,Львів
1994,m,hs,Київ
1986,f,m,Дніпропетровськ
1985,f,b,Бровари
1991,m,m,г. Киев
1996,m,hs,Київ
1976,m,m,Львів
1999,m,el,місто Львів
1991,f,m,Київ
1988,f,a,"село Гатне, Києво-Святошинський район"
1988,m,m,Львів
1984,m,m,Київ
1992,m,m,
1981,f,m,Дніпропетровськ
1979,f,m,Киев
1987,m,b,Киев
1994,m,a,Donetsk
1992,m,m,Kyiv
1989,m,m,Львів
1992,m,m,Черкаси
1989,f,m,Київ
1982,f,m,Донецьк
1991,f,m,Київ
1985,f,m,Львів
1987,f,m,м. Ужгород
1991,f,m,"Opole, Poland"
1985,f,m,Kyiv
1993,f,b,Київ
1986,m,m,Львів
1986,f,m,Бориспіль
1972,f,m,Київ
1979,m,m,Київ 
1997,f,hs,Місто Львів
1986,f,a,Київ
1999,f,hs,м.Львів
1991,f,m,Lviv
1995,f,a,Львів
1995,f,hs,Київ
1989,f,m,Lviv
1992,f,m,Uzhhorod
1981,f,m,Kyiv
1995,f,a,Львів
1988,f,m,Львів
1985,f,m,Київ
1995,f,a,місто Львів
1990,f,m,Тернопіль
1994,f,a,
1986,f,p,м.Львів
1986,f,m,Lviv
1989,f,m,Львів
1994,f,b,Львів
1983,f,m,"Ottawa, ON, Canada"
1992,m,a,м.Вінниця
1995,m,a,Kyiv
1989,f,m,Харків
1992,f,m,Львів
1983,m,m,Синельникове
1986,f,m,Київ
1998,f,hs,Львів
1994,m,hs,
1973,f,m,"Калуш, Івано-Франківської обл"
1989,f,m,м. Кременчук
1994,f,a,"Місто Золочів, Львівська область"
1967,m,m,м. Київ
1987,f,m,
1985,f,m,Київ
None,f,hs,
1981,m,m,м.Ужгород
1995,m,m,Чернівці
1994,f,hs,Київ
1989,f,m,Kyiv
1984,f,b,Київ
1985,f,m,Кривий Ріг
1992,f,b,Львів
1988,f,m,Львів
1997,f,a,Київ
1985,m,m,Luck
1988,f,m,Калуш
1981,f,m,Ужгород
1987,f,m,м. Київ
1985,f,m,Івано-Франківськ
1979,f,m,Київ
1986,f,m,Біла Церква
1984,f,m,Івано-Франківськ
1992,f,a,Стрий
1980,f,m,м.Київ
1985,f,m,Київ
1986,f,m,Киев
1987,f,b,Львів
1990,f,a,
1985,m,,
1991,f,b,
1990,f,m,Львів
1990,f,m,Tallin
1988,f,m,"Міжгір'я, Закарпаття"
1971,m,m,Київ
1990,m,m,Львів
1984,f,m,місто Київ
1990,f,m,Київ
1995,f,a,Киів
1979,f,m,м. Миколаїв
1995,f,a,м.Чернівці
1974,f,m,
1988,f,m,м. Львів
1981,f,m,Odesa
1993,f,a,село Хотів
1995,f,a,місто Київ
1995,f,a,Одеса
1982,f,m,Dnepropetrovsk
1987,f,m,Київ
1991,f,m,Київ
1991,f,m,Вінниця
1974,f,m,м.Львів
1994,f,hs,Миколаїв 
1987,f,m,Київ
1983,f,b,м. Миколаїв
1985,f,m,Харків
1983,f,m,Харків
1987,f,m,Полтава
1981,f,m,Київ
1995,f,a,
1994,f,a,
1981,f,m,
None,f,,
1981,f,m,Kiev
1992,f,m,місто Київ
1984,f,m,  Київ
1986,f,m,Київ
1990,f,m,Київ
1989,f,m,Луцьк
1993,f,a,Brovary
1992,f,m,
1995,f,a,Київ
1988,f,m,Київ
1979,f,m,Odessa
None,,,
1977,f,m,Київ
1987,f,m,Кривий Рiг
1977,f,other,Odessa
1998,f,hs,Івано-Франківськ 
1994,f,a,м. Київ
1988,f,m,м. Київ
1995,f,a,Київ
1976,f,m,Донецьк.
1993,f,b,Одеса
1987,f,m,Київ
1993,f,b,
1986,f,m,Львів
1985,f,m,
1992,f,b,Київ
1980,f,m,Львів
1993,f,b,Днепропетровск
1992,f,b,м. Київ
1984,f,m,Київ
1994,f,b,"Ukraine, Odesa"
1986,f,m,Київ
1996,f,a,Харків
1992,m,m,Київ
1995,f,a,Київ
1987,m,m,Київ
1983,f,m,Донецк
1990,f,m,
1914,f,m,
1995,f,a,Київ
1995,f,a,Тернопіль
1997,f,hs,Київ
1991,f,m,Ivano-Frankivsk
1988,f,m,"м.Сміла, Черкаської обл."
1983,f,m,Киев
1997,f,other,Київ
None,,a,
1994,f,a,Kyiv
1987,f,a,
1985,f,m,Vinnitsa
1986,m,b,Kyiv
1982,f,m,Львів
1989,m,m,Сквира
1983,m,m,"м.Вишгород, Київська обл."
1997,f,hs,Одеса
1989,f,m,м. Київ
1988,m,m,Київ
1971,m,m,м. Київ
1993,m,b,
1996,m,hs,"Світловодськ, Кіровоградська область."
1984,m,a,
1996,m,a,Київ
1970,f,m,Львів
1989,f,m,Миколаїв
1996,f,a,м. Київ
1995,f,a,Київ
1982,m,b,Николаев
1988,m,m,Київ
1979,m,m,г. Одесса
1982,m,b,Київ
1984,m,m,Мукачео
1983,m,m,Lutsk
1993,f,b,Львів
1990,m,m,
1989,m,m,м. Київ
1995,f,hs,Київ
1987,f,b,м. Київ
1995,m,hs,
1995,m,hs,Ternopil
1984,m,m,Івано-Франківськ
1988,m,m,Київ
1972,m,m,Київ
1976,m,m,Запоріжжя
1988,m,b,Киів
1978,m,m,kyiv
1988,m,m,
1973,m,m,Київ
1994,m,a,Дрогобич
1991,m,m,Київ
1995,m,hs,Київ
1983,m,m,Київ
1992,m,m,Київ
1986,m,m,Київ
1995,m,a,Київ
1980,m,m,Одеса
1994,m,a,Київ
1990,m,m,м. Вінниця
1986,m,m,
1982,m,m,місто Київ
1994,m,jhs,"Троицкое,Луганская область."
1992,m,a,Запорожье
1973,f,m,Мелітополь
1996,m,other,Кривий Ріг
1980,m,m,киев
1981,m,m,Київ
None,m,,
1988,m,m,"м.Хорол, Полтавськоъ обл."
1988,m,m,м. Славута
1989,m,m,Kyiv
1988,m,m,"м. Нетішин, Хмельнтцька обл., Україна"
1992,m,m,Lviv
1986,m,a,Днепропетровск
1989,m,m,Київ
1993,m,b,Київ
1978,m,a,Днепропетровск
1981,m,m,Днепропетровск
1993,m,b,
1996,m,a,Київ
1988,m,m,
1986,f,m,Kyiv
1978,m,hs,г.Артемовск
1986,m,m,
1989,m,m,м. Київ
1981,m,m,Обухов
1975,m,m,Київ
1987,m,m,Kyiv
1988,m,m,Київ
1989,m,m,Київ
1996,m,jhs, Вінниця
1980,m,m,Київ
None,m,,
1986,m,m,м.КИЇВ
1989,m,m,Kyiv
None,,,
1964,f,m,Kharkiv
1990,m,m,Kyiv
1989,m,m,Одеса
None,,,
1984,m,b,Ковель
1980,f,m,Севастополь
1985,m,m,"Київ
"
1984,m,a,Київ
1982,f,m,Lviv
None,f,m,
1989,f,m,Киев
1989,f,m,Киев
1973,f,m,м. Одеса
1982,f,hs,
1987,f,m,Kyiv
1997,m,hs,Кіровоград 
1997,m,hs,"Суми
"
1992,f,m,Київ
1988,m,m,Київ
1993,m,a,Киев
1997,f,hs,Київ
1990,m,b,Warsaw
1979,f,m,Киев
1995,f,hs,Львiв
1983,m,m,Львів
1992,m,m,
1976,m,m,Київ
1985,m,m,Дніпропетровськ
1993,f,b,Київ
1987,f,m,
1976,m,m,Zhitomir
1977,m,m,м.  Київ
1971,f,m,Львів
1996,m,a,Київ
1987,m,hs,смт. Немішаєво
1966,m,p,Дніпропетровськ
1989,f,m,
1963,m,p,Київ
1962,f,m,kuiv
1966,m,a,Киев
1989,m,m,Київ
1992,m,m,м.Львів
1990,m,m,Київ
1980,m,m,Запоріжжя
1964,f,p,Sumy
1987,m,m,"Мюнхен, Німеччина"
1994,f,hs,Київ
1993,f,b,"Україна, Донецька обл., м.Красний Лиман"
1988,f,m,Харків
1985,f,m,Київ
1981,f,m,Тернопіль
1991,f,m,Львів
1994,f,a,
1996,m,jhs,"м.Калуш, Івано-Франківська обл"
1990,f,m,Вінниця
1992,f,b,Київ
1978,m,m,Київ
1987,m,b,Дніпропетровськ
1994,f,a,ODESSA
None,m,m,
1995,m,a,
1992,f,m,Одеса
None,,,
1993,m,b,Влад
1993,f,a,Львів
1982,m,m,Київ
1982,m,m,Київ
1989,m,m,м. Миколаїв
1992,m,hs,Львів
1987,f,m,м. Івано-Франківськ
1995,f,a,"м. Острог, Рівненська обл."
1991,f,m,Львів
1994,m,a,Місто Київ
1988,m,m,Місто-герой Київ
1986,m,b,Київ
1986,m,b,місто Дрогобич
1993,f,a,Київ
1976,m,m,Комсомольськ
1988,m,b,Київ
None,m,m,
1977,m,m,"Імстичево, Закарпаття"
1969,m,m,Киев
1991,m,m,Тернопіль
1986,f,m,Київ
1988,f,m,Львів
1991,f,m,Київ
1996,f,a,Київ
1989,m,jhs,Київ
1996,m,a,Харків
1996,m,a,Харків
1979,m,,Ужгород
1985,m,m,Київ
1984,f,m,Львів
1981,f,m,Бровари
1981,f,m,Київ
1995,f,a,м. Харків
1996,f,a,Одеса
1990,m,m,Київ
1988,m,b,Харків
1980,m,m,Львів
1984,m,m,1
1993,m,a,Харків
1986,m,m,Луганськ
1994,m,a,м. Кривий Ріг
1975,m,p,Киев
1996,m,a,Kiev
1985,m,m,Киев
1996,m,b,Чернівці
1989,m,m,Київ
1975,m,m,Днепропетровск
1986,m,b,
1975,m,m,Київ
1991,m,b,Львів
1983,m,m,Киев
1981,m,m,Kyiv city
1975,m,m,Київ
1995,m,hs,Київ
1982,m,m,Київ
1985,m,m,Kyiv
1984,m,m,Київ
1986,m,m,Львів
1979,m,jhs,"Київська обл., с.Шпитьки"
1979,m,m,Київ
2000,f,b,Kiyv
1987,m,m,
1992,m,m,"Львівська область, місто Броди"
1987,m,m,Кам'янець-Подільський
1982,m,b,Київ
1955,m,m,КИЇВ
1993,m,b,с.Дроздовичі
1984,f,m,Київ
1982,f,m,Київ
1990,f,m,Київ
None,,,
1976,f,m,м. Київ
1990,f,m,
1995,f,hs,Київ
1988,f,m,Житомир
1986,f,m,Львів
1995,f,a,"Україна, м. Київ"
1998,f,other,Київ
1991,f,m,Житомир
1981,f,m,Kiev
1983,f,m,Київ
1987,f,m,
1979,f,m,Kyiv
1974,f,m,Київ
1994,f,b,
1989,f,m,Киев
1988,f,m,Київ
1980,f,m,Киев
1985,f,m,Київ
1987,f,m,Київ
1979,f,m,Київ
1989,m,m,"м. Южне, Одеська обл."
1994,f,a,місто Київ
1988,f,m,
1993,f,b,Одеса
1992,f,b,Київ
1983,f,m,
1980,m,b,Стаханов
1972,f,m,"Nikopol,Dnipropetrovska obl"
1990,f,a,Киев
1987,f,b,Kyiv
1972,f,m,м. Херсон
1980,f,m,Київ
1982,f,m,Київ
1992,f,m,Львів 
1984,f,p,Київ 
1991,f,a,Київ
1994,f,b,Kiev
1993,m,b,Kyiv
1979,m,m,Кривой Ріг
1982,f,m,
None,m,m,
1982,m,m,Киев
1982,f,m,Kiev
1991,m,m,Виноградів
None,m,m,м. Вінниця
1978,m,m,02099 Київ
1967,f,a,Киев
1986,f,m,Київ
1988,f,m,Одеса
1991,f,m,Білгород-Дністровський
1992,f,b,Kyiv
1972,m,a,Днепропетровск
1987,f,m,Киев
1995,f,a,м.Київ
1993,,b,Львів
1993,m,b,Київ
1993,f,b,м. Київ
1993,f,b,Одеса
1993,f,b,Київ
1983,f,p,Львів
1981,m,a,
1988,m,m,Харків
1988,m,b,м. Хмельницький
1985,f,m,Київ
1991,m,m,Івано-Франківськ
1980,m,m,Киев
1990,m,m,Poltava
1983,f,m,Kyiv
1985,f,m,Kyiv
1967,f,b,Винница
1993,f,b,"Wrocław, Львів"
1994,m,a,"м. Київ
м. Червоноград (Львівська область)"
1993,m,b,Вінниця
1993,m,b,Київ
1993,m,a,Киев
1978,m,m,"Київ

"
1994,m,a,Київ
1995,m,a,
1985,m,m,
1992,m,b,
1985,f,a,Вінниця
1974,f,m,Кривий Ріг
1990,f,b,Poznan
1992,f,m,Дніпропетровськ 
1989,f,b,Ізмаїл
1984,f,m,Lviv
None,f,m,
1994,f,a,М.Дніпропетровськ
1988,f,m,Житомир
1992,f,b,
1995,m,a,Лубни
1984,m,m,
1986,m,m,Київ
1988,m,m,Киев
1984,m,m,Маріуполь
None,,,
1984,m,m,Київ
1992,m,b,"Іллічівськ, Одеська область"
1993,m,a,Київ
1986,m,a,Тернопіль
1980,m,m,Харків
1976,m,a,Киiв
1984,m,m,Kiev
1992,m,b,м. Київ
1984,m,m,
1995,m,a,Київ
1981,m,m,Николаев
1992,f,m,Lviv
1995,f,hs, Одеса
1972,m,p,kyiv
1983,f,m,Київ 
1991,f,m,Київ
1986,f,m,Lviv
1984,m,m,г. Донецк
1996,m,hs,Київ
1993,m,b,Луганск
1992,m,b,львів
1956,m,m,Київ
1994,f,a,Київ
1990,m,b,
1977,f,m,Киев
1991,m,m,
1994,m,hs,Івано-Франківськ
1970,m,m,Київ
1983,m,m,"г.Днепропетровск, Украина"
1994,m,b,Чернівці
1964,f,m,м.Львів
1995,f,a,Днепропетровск
1993,m,hs,м.Київ
1984,m,m,CK.UA
1994,m,a,Дніпропетровськ
1994,m,a,
1978,m,m,Petah Tikva 
1965,m,m,"Montréal, Canada"
1996,m,hs,м.Київ
1982,m,m,Рівне
1995,m,a,Kyiv
1980,f,m,Одесса
1986,m,m,Київ
1994,m,a,Kiev
1989,m,m,Запоріжжя
1974,f,m,Харьков
1989,m,m,Львів
1978,f,m,Київ
1971,m,m,Николаев
1989,f,b,
1988,m,m,м. Нетішин
1996,f,hs,м.Одеса
None,f,m,Київ
